,Nombre visible Agente,AGENTE (OFEI),"CENTRAL (dDEC, dSEGDES, dPRU…)","Tipo de central (Hidro, Termo, Filo, Menor)",hora_1,hora_2,hora_3,hora_4,hora_5,hora_6,hora_7,hora_8,hora_9,hora_10,hora_11,hora_12,hora_13,hora_14,hora_15,hora_16,hora_17,hora_18,hora_19,hora_20,hora_21,hora_22,hora_23,hora_24,total
0,EMGESA,EMGESA S.A.,BETANIA,H,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,8736.0
1,EMGESA,EMGESA S.A.,BETANIA,H,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,8736.0
2,EMGESA,EMGESA S.A.,BETANIA,H,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,8736.0
6,EMGESA,EMGESA S.A.,ELQUIMBO,H,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,2040.0
7,EMGESA,EMGESA S.A.,ELQUIMBO,H,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,2040.0
8,EMGESA,EMGESA S.A.,GUAVIO,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,120.0,180.0,180.0,180.0,180.0,180.0,120.0,120.0,997.0,1002.0,780.0,140.0,0.0,0.0,4325.0
9,EMGESA,EMGESA S.A.,GUAVIO,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,120.0,180.0,180.0,180.0,180.0,180.0,120.0,120.0,997.0,1002.0,780.0,140.0,0.0,0.0,4325.0
10,EMGESA,EMGESA S.A.,GUAVIO,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,120.0,180.0,180.0,180.0,180.0,180.0,120.0,120.0,997.0,1002.0,780.0,140.0,0.0,0.0,4325.0
11,EMGESA,EMGESA S.A.,GUAVIO,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,120.0,180.0,180.0,180.0,180.0,180.0,120.0,120.0,997.0,1002.0,780.0,140.0,0.0,0.0,4325.0
12,EMGESA,EMGESA S.A.,GUAVIO,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,120.0,180.0,180.0,180.0,180.0,180.0,120.0,120.0,997.0,1002.0,780.0,140.0,0.0,0.0,4325.0
13,EMGESA,EMGESA S.A.,PAGUA,H,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,14400.0
14,EMGESA,EMGESA S.A.,PAGUA,H,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,14400.0
15,EMGESA,EMGESA S.A.,PAGUA,H,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,14400.0
16,EMGESA,EMGESA S.A.,PAGUA,H,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,14400.0
17,EMGESA,EMGESA S.A.,PAGUA,H,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,14400.0
18,EMGESA,EMGESA S.A.,PAGUA,H,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,14400.0
