,id,FRAUDE,VALOR,HORA_AUX,Dist_max_COL,Dist_max_INTER,Canal1,FECHA_FRAUDE,COD_PAIS,CANAL,FECHA,DIASEM,DIAMES,FECHA_VIN,OFICINA_VIN,SEXO,SEGMENTO,EDAD,INGRESOS,EGRESOS,NROPAISES,Dist_Sum_INTER,Dist_Mean_INTER,Dist_Max_INTER,NROCIUDADES,Dist_Sum_NAL,Dist_Mean_NAL,Dist_HOY,Dist_sum_NAL,Dist_mean_NAL,Dist_sum_INTER,Dist_mean_INTER
0,98523068,0,42230.09,180,1.0,1.0,300,20150515,US,300,20150515,50,150,2015,611,F,200,460,20000000,10000000,1,,,,1,,,4552.41,1.0,1.0,1.0,1.0
1,300237898,0,143202.65,200,614.04,7632.97,300,20150506,US,200,20150506,30,60,1989,961,F,100,560,11000000,4500000,3,24370.75,6092.69,7632.97,2,1228.07,614.04,4552.41,1228.07,614.04,24370.75,6092.69
2,943273308,1,243591.25,20,286.84,2443.14,100,20150517,EC,100,20150517,0,170,2005,218,F,200,330,9000000,4000000,3,6974.09,1743.52,2443.14,7,1944.35,138.88,5083.41,1944.35,138.88,6974.09,1743.52
3,951645809,1,238267.4,200,1.0,1.0,100,20150508,EC,100,20150508,50,80,1999,113,F,200,530,2300000,500000,1,,,,1,,,904.81,1.0,1.0,1.0,1.0
4,963797516,1,490403.58,130,1.0,1.0,100,20150501,US,100,20150501,50,10,1991,85,M,500,0,0,0,1,,,,1,,,4552.41,1.0,1.0,1.0,1.0
5,971691350,0,111555.02,150,340.09,4552.41,300,20150507,US,300,20150507,40,70,1999,600,M,100,470,14264000,3000000,3,20435.63,2919.38,4552.41,8,3312.82,77.04,4552.41,3312.82,77.04,20435.63,2919.38
6,971788614,0,79340.05,190,659.13,8351.75,300,20150503,US,300,20150503,0,30,2010,180,M,200,370,6500000,6000000,5,115833.16,5036.22,8351.75,2,1318.26,659.13,4552.41,1318.26,659.13,115833.16,5036.22
7,978266544,0,232904.37,170,470.23,7857.49,300,20150515,US,200,20150515,50,150,1979,929,M,100,690,20000000,5000000,3,15715.64,5238.55,7857.49,4,1122.93,112.29,4552.41,1122.93,112.29,15715.64,5238.55
8,979598220,0,91075.65,210,131.71,4552.41,300,20150501,US,200,20150501,50,10,1998,702,M,200,430,7100000,1800000,2,9104.82,4552.41,4552.41,3,280.3,93.43,4552.41,280.3,93.43,9104.82,4552.41
9,979672843,0,35391.15,190,48.19,1.0,300,20150518,US,200,20150518,10,180,2011,227,M,100,400,16880766,5000000,1,,,,3,284.44,31.6,4552.41,284.44,31.6,1.0,1.0
10,982775975,0,2895359.46,230,733.11,4552.41,300,20150503,US,200,20150503,0,30,1982,156,M,100,560,108000000,57800000,3,12959.36,4319.79,4552.41,3,3419.67,569.94,4552.41,3419.67,569.94,12959.36,4319.79
11,991289947,0,64394.04,140,286.84,1.0,300,20150506,US,300,20150506,30,60,2008,291,M,300,420,12085000,3500000,1,,,,3,581.61,193.87,4552.41,581.61,193.87,1.0,1.0
12,994412379,0,99658.07,140,280.0,4552.41,300,20150527,US,300,20150527,30,270,1995,735,M,300,400,3400000,3000000,2,18209.64,4552.41,4552.41,3,1042.79,52.14,4552.41,1042.79,52.14,18209.64,4552.41
13,998545844,0,89346.58,20,23.59,4552.41,300,20150519,US,200,20150519,20,190,1997,267,M,200,460,3000000,2000000,2,4552.41,4552.41,4552.41,4,455.54,13.02,4552.41,455.54,13.02,4552.41,4552.41
14,1015435798,1,1212118.74,30,1.0,4552.41,100,20150503,US,100,20150503,0,30,2003,674,F,500,220,200000,100000,2,4552.41,4552.41,4552.41,1,,,4552.41,1.0,1.0,4552.41,4552.41
15,1020732175,0,24754.05,60,289.23,1.0,300,20150521,US,300,20150521,40,210,2010,571,M,200,270,9568000,1578388,1,,,,2,578.46,289.23,4552.41,578.46,289.23,1.0,1.0
16,1020759384,1,195914.91,190,659.13,1.0,100,20150515,US,100,20150515,50,150,2007,658,F,200,240,1100000,1100000,1,,,,2,1318.26,659.13,4552.41,1318.26,659.13,1.0,1.0
17,1020775376,1,207265.43,190,1.0,10274.58,300,20150528,EC,200,20150528,40,280,2010,570,M,500,220,400000,170000,4,26294.63,6573.66,10274.58,1,,,904.81,1.0,1.0,26294.63,6573.66
18,1036603136,0,282099.16,220,243.62,1.0,300,20150521,US,200,20150521,40,210,2005,14,M,200,280,2900000,1700000,1,,,,4,553.1,92.18,4552.41,553.1,92.18,1.0,1.0
19,1037575859,0,344910.0,130,131.63,1.0,300,20150515,US,300,20150515,50,150,2010,693,F,200,280,2450000,300000,1,,,,4,331.11,55.18,4552.41,331.11,55.18,1.0,1.0
20,1037599070,0,96229.05,70,188.55,1.0,300,20150522,US,300,20150522,50,220,1997,617,F,200,250,2500000,200000,1,,,,6,615.27,22.79,4552.41,615.27,22.79,1.0,1.0
21,1037620354,1,1256805.4,180,243.62,904.81,100,20150513,US,100,20150513,30,130,2012,1,M,200,220,1800000,100000,2,1809.62,904.81,904.81,7,2169.37,114.18,4552.41,2169.37,114.18,1809.62,904.81
22,1106712539,1,1200872.44,230,659.13,4552.41,100,20150508,PA,100,20150508,50,80,2003,443,F,300,270,4000000,2000000,3,11192.64,2798.16,4552.41,4,2123.66,424.73,1043.91,2123.66,424.73,11192.64,2798.16
23,1107060429,0,73438.5,220,304.29,4552.41,300,20150506,US,200,20150506,30,60,1997,810,F,200,250,3200000,100000,2,18209.64,4552.41,4552.41,4,1528.95,72.81,4552.41,1528.95,72.81,18209.64,4552.41
24,1113778603,1,1012853.07,110,594.77,1.0,300,20150515,US,300,20150515,50,150,2005,716,M,200,290,5643700,500000,1,,,,5,2029.9,289.99,4552.41,2029.9,289.99,1.0,1.0
25,1127951211,1,240376.85,50,23.31,1.0,100,20150515,EC,100,20150515,50,150,2012,191,F,200,210,2600000,2000000,1,,,,2,512.84,23.31,904.81,512.84,23.31,1.0,1.0
26,9318398313,1,1675514.57,30,4.48,1.0,100,20150510,US,100,20150510,0,100,2004,756,M,500,360,590000,300000,1,,,,2,8.97,4.48,4552.41,8.97,4.48,1.0,1.0
27,9331970038,1,487956.63,170,1.0,1.0,100,20150515,US,100,20150515,50,150,2009,829,F,200,470,4000000,1000000,1,,,,1,,,4552.41,1.0,1.0,1.0,1.0
28,9352999617,1,510073.2,190,74.29,3854.54,100,20150521,US,100,20150521,40,210,2007,574,F,200,310,5000000,0,2,7709.08,3854.54,3854.54,2,148.59,74.29,4552.41,148.59,74.29,7709.08,3854.54
29,9364559809,1,48195.91,0,123.61,1.0,100,20150503,US,100,20150503,0,30,2001,666,F,200,450,7600000,1400000,1,,,,3,370.11,92.53,4552.41,370.11,92.53,1.0,1.0
30,9379373629,1,149512.07,130,470.23,4552.41,300,20150525,US,300,20150525,10,250,1993,600,M,100,490,35500000,11000000,2,13657.23,4552.41,4552.41,7,7225.54,225.8,4552.41,7225.54,225.8,13657.23,4552.41
31,9394456341,1,3311907.09,200,314.13,4552.41,300,20150516,US,200,20150516,60,160,1999,156,M,100,390,31984251,17900000,3,10141.52,3380.51,4552.41,5,688.56,137.71,4552.41,688.56,137.71,10141.52,3380.51
32,9398658008,1,625842.05,120,9.34,4552.41,300,20150522,US,300,20150522,50,220,1999,72,M,100,390,10000000,1000000,5,20078.4,2868.34,4552.41,3,267.2,8.91,4552.41,267.2,8.91,20078.4,2868.34
33,9410128104,1,18850.08,220,25.02,4552.41,300,20150520,US,300,20150520,30,200,1991,896,M,400,480,24000000,6000000,3,16398.16,4099.54,4552.41,2,50.04,25.02,4552.41,50.04,25.02,16398.16,4099.54
34,9420408973,1,491438.56,30,1.0,1.0,100,20150505,US,100,20150505,20,50,1994,634,F,200,570,6000000,3000000,1,,,,1,,,4552.41,1.0,1.0,1.0,1.0
35,9443276675,1,515816.06,200,171.77,3854.54,300,20150521,US,200,20150521,40,210,1996,1,F,100,340,11200000,3000000,2,7709.08,3854.54,3854.54,4,414.74,69.12,4552.41,414.74,69.12,7709.08,3854.54
36,9451750111,1,225693.12,90,733.11,3854.54,300,20150509,CN,200,20150509,60,90,1991,43,F,200,500,5375000,3300000,2,7709.08,3854.54,3854.54,3,772.29,257.43,15667.16,772.29,257.43,7709.08,3854.54
37,9452387545,1,855264.0,0,659.13,1.0,300,20150507,HN,200,20150507,40,70,2006,304,F,200,370,6000000,6000000,1,,,,3,1926.84,481.71,2004.01,1926.84,481.71,1.0,1.0
38,9452886044,1,54601.6,30,80.92,1.0,100,20150505,US,100,20150505,20,50,2004,674,F,200,330,6000000,300000,1,,,,5,801.71,26.72,4552.41,801.71,26.72,1.0,1.0
39,9471396099,1,1216656.06,200,216.33,4552.41,300,20150519,US,300,20150519,20,190,1996,541,M,100,390,20217499,2000000,2,9104.82,4552.41,4552.41,6,813.41,28.05,4552.41,813.41,28.05,9104.82,4552.41
40,9480039827,1,1217956.25,160,1.0,1.0,100,20150518,CR,100,20150518,10,180,2005,699,M,300,320,2500000,1500000,1,,,,1,,,1482.35,1.0,1.0,1.0,1.0
41,9480133789,1,1214541.73,50,30.2,3854.54,100,20150503,PA,100,20150503,0,30,2003,699,M,100,330,19000000,5700000,3,15273.33,3818.33,3854.54,3,214.06,26.76,6667.61,214.06,26.76,15273.33,3818.33
42,9519293571,0,194931.09,90,733.11,1.0,300,20150529,US,300,20150529,50,290,2010,122,M,200,600,5700000,800000,1,,,,4,1987.33,331.22,4552.41,1987.33,331.22,1.0,1.0
43,9552956578,1,239022.0,230,1.0,4552.41,100,20150521,PH,100,20150521,40,210,2010,54,F,200,310,3000000,500000,3,12573.96,3143.49,4552.41,1,,,17592.42,1.0,1.0,12573.96,3143.49
44,9552996783,1,500029.08,220,659.13,1.0,300,20150506,US,300,20150506,30,60,2011,299,F,200,310,5060000,300000,1,,,,3,5887.06,654.12,4552.41,5887.06,654.12,1.0,1.0
45,9580086993,1,51828.2,190,1.0,1.0,100,20150508,US,100,20150508,50,80,1996,697,M,100,340,9850000,1000000,1,,,,1,,,4552.41,1.0,1.0,1.0,1.0
46,9617549036,1,85477.45,180,455.13,1.0,100,20150522,PA,100,20150522,50,220,2007,317,M,300,470,2500000,1500000,1,,,,3,2396.79,399.46,1043.91,2396.79,399.46,1.0,1.0
47,9622657942,1,0.0,190,662.36,1.0,100,20150502,US,100,20150502,60,20,2013,442,F,200,330,1347777,635236,1,,,,3,1447.62,361.9,4552.41,1447.62,361.9,1.0,1.0
48,9651938625,1,243591.25,130,1.0,1.0,100,20150516,CR,100,20150516,60,160,1996,612,F,200,480,1500000,800000,1,,,,1,,,1482.35,1.0,1.0,1.0,1.0
49,9652259232,1,243591.25,160,294.43,8351.75,100,20150516,EC,100,20150516,60,160,1996,574,F,200,390,8000000,2000000,2,16703.51,8351.75,8351.75,3,698.34,174.58,904.81,698.34,174.58,16703.51,8351.75
50,9679901941,1,128711.0,160,1217.57,1.0,300,20150529,US,200,20150529,50,290,2013,31,M,200,370,6760000,500000,1,,,,15,4952.61,190.49,4552.41,4952.61,190.49,1.0,1.0
51,9680086993,1,51828.2,190,1.0,1.0,100,20150508,US,100,20150508,50,80,1996,697,M,100,340,9850000,1000000,1,,,,1,,,4552.41,1.0,1.0,1.0,1.0
52,9698658008,1,625842.05,120,9.34,4552.41,300,20150522,US,300,20150522,50,220,1999,72,M,100,390,10000000,1000000,5,20078.4,2868.34,4552.41,3,267.2,8.91,4552.41,267.2,8.91,20078.4,2868.34
53,9716647028,0,334136.02,70,19.67,1.0,300,20150521,US,300,20150521,40,210,1998,77,M,100,550,23000000,10000000,1,,,,2,78.7,19.67,4552.41,78.7,19.67,1.0,1.0
54,9716651830,0,62264.3,160,1.0,1.0,300,20150511,US,200,20150511,10,110,1989,967,M,100,570,29660000,1600000,1,,,,1,,,4552.41,1.0,1.0,1.0,1.0
55,9719194850,0,250597.06,200,23.31,1.0,300,20150501,US,300,20150501,50,10,1994,191,M,200,610,3000000,3000000,1,,,,3,106.4,21.28,4552.41,106.4,21.28,1.0,1.0
56,9735469594,0,88880.18,180,91.01,1.0,300,20150501,US,200,20150501,50,10,1999,963,F,100,530,8000000,7000000,1,,,,4,290.35,48.39,4552.41,290.35,48.39,1.0,1.0
57,9739673896,0,522955.84,190,659.13,1043.91,100,20150528,PA,100,20150528,40,280,2000,662,F,200,380,7400000,1300000,3,24219.26,1009.14,1043.91,6,4804.82,252.89,1043.91,4804.82,252.89,24219.26,1009.14
58,9741673693,0,982361.44,220,659.13,1.0,300,20150503,US,200,20150503,0,30,1972,156,F,100,590,12000000,8000000,1,,,,3,2683.13,447.19,4552.41,2683.13,447.19,1.0,1.0
59,9741771315,0,81925.08,140,1.0,4552.41,300,20150524,US,300,20150524,0,240,2008,30,F,200,600,3500000,2000000,2,4552.41,4552.41,4552.41,1,,,4552.41,1.0,1.0,4552.41,4552.41
60,9766951811,0,492927.08,160,1.0,4552.41,300,20150519,US,300,20150519,20,190,2013,716,F,100,390,17000000,3000000,3,12959.36,4319.79,4552.41,1,,,4552.41,1.0,1.0,12959.36,4319.79
61,9771737346,0,307544.13,220,604.69,1162.89,300,20150503,US,200,20150503,0,30,1997,267,M,100,420,20000000,18000000,3,5265.86,1053.17,1162.89,5,3058.06,122.32,4552.41,3058.06,122.32,5265.86,1053.17
62,9771779162,0,208265.82,0,574.65,1.0,300,20150511,US,200,20150511,10,110,1997,280,M,200,370,6000000,1446608,1,,,,6,2186.69,42.05,4552.41,2186.69,42.05,1.0,1.0
63,9779690992,0,43564.05,150,243.62,4552.41,300,20150530,US,200,20150530,60,300,1998,313,M,100,390,18960002,0,3,19069.26,3178.21,4552.41,6,2226.64,82.47,4552.41,2226.64,82.47,19069.26,3178.21
64,9780019206,1,138854.4,210,733.11,1.0,100,20150527,PA,100,20150527,30,270,2004,171,M,200,370,5600000,200000,1,,,,8,6060.9,163.81,1043.91,6060.9,163.81,1.0,1.0
65,9780221033,1,1505157.27,170,304.29,1.0,100,20150520,US,100,20150520,30,200,2014,662,M,200,330,6000000,2000000,1,,,,3,4039.71,269.31,4552.41,4039.71,269.31,1.0,1.0
66,9780504385,0,53533.7,0,294.43,4552.41,300,20150506,US,200,20150506,30,60,1996,963,M,100,410,25000000,8000000,3,18816.11,2352.01,4552.41,12,2565.32,69.33,4552.41,2565.32,69.33,18816.11,2352.01
67,9787061219,0,209097.05,160,1.0,1.0,300,20150530,EC,300,20150530,60,300,2002,881,M,200,320,1200000,500000,1,,,,1,,,904.81,1.0,1.0,1.0,1.0
68,9798552025,0,179508.23,170,10.34,1.0,300,20150506,US,200,20150506,30,60,1997,344,M,200,450,3600000,1300000,1,,,,2,20.67,10.34,4552.41,20.67,10.34,1.0,1.0
69,9810027282,0,103441.0,120,243.62,1.0,300,20150516,US,300,20150516,60,160,1996,116,M,100,390,20500000,5000000,1,,,,5,3461.37,157.33,4552.41,3461.37,157.33,1.0,1.0
70,9810130628,0,74334.06,170,733.45,1.0,300,20150512,US,300,20150512,20,120,1995,73,M,200,470,4050000,3600000,1,,,,4,2076.01,296.57,4552.41,2076.01,296.57,1.0,1.0
71,9816782603,0,66443.0,160,304.29,2443.14,300,20150501,US,200,20150501,50,10,1995,737,M,100,450,7663500,8000000,2,4886.27,2443.14,2443.14,2,608.58,304.29,4552.41,608.58,304.29,4886.27,2443.14
72,9831964222,0,357225.02,160,1.0,1.0,300,20150530,US,300,20150530,60,300,1995,736,F,300,470,0,0,1,,,,1,,,4552.41,1.0,1.0,1.0,1.0
73,9835469594,0,227122.16,0,91.01,1.0,300,20150501,US,200,20150501,50,10,1999,963,F,100,530,8000000,7000000,1,,,,4,290.35,48.39,4552.41,290.35,48.39,1.0,1.0
74,9839359227,0,218917.84,220,122.73,1.0,300,20150503,US,200,20150503,0,30,2011,19,F,200,320,2909000,600000,1,,,,3,206.81,20.68,4552.41,206.81,20.68,1.0,1.0
75,9839783020,0,31242.08,120,243.62,4552.41,300,20150514,US,300,20150514,40,140,2012,436,F,200,460,4000000,3500000,2,9104.82,4552.41,4552.41,5,1242.4,54.02,4552.41,1242.4,54.02,9104.82,4552.41
76,9841673693,0,410969.69,0,659.13,1.0,300,20150503,US,200,20150503,0,30,1972,156,F,100,590,12000000,8000000,1,,,,3,2683.13,447.19,4552.41,2683.13,447.19,1.0,1.0
77,9843756492,0,10948.48,230,472.23,4552.41,300,20150513,US,200,20150513,30,130,2011,935,F,200,370,18000000,12000000,2,18209.64,4552.41,4552.41,6,3417.23,61.02,4552.41,3417.23,61.02,18209.64,4552.41
